instance,method,objective,unproved_lower_bound,time,nb_nodes,robust_constraint,static_objective,static_constraint,S,path
data/processed/1800_USA-road-d.BAY.gr,heuristics,72511.8,71425,1.35263,0,655,61845,542,675,[1627;1572;1366;1249;1487;1424;1158;859;510;1776;888;595;457;1639;902;503;490;1372;1579;1215;1535;1177;1735;1788;1788]
data/processed/1800_USA-road-d.COL.gr,heuristics,42505.7,42505.7,0.54668,0,1193,34075,1095,1195,[88;1438;331;661;205;151;104;1599;1601;61;960;330;696;1398;1053;1053]
data/processed/1800_USA-road-d.NY.gr,heuristics,69098.2,69098.2,0.466398,0,464,56484,360,466,[1133;1109;478;1171;1159;1559;1772;1070;442;855;866;697;585;108;696;581;324;1176;1240;1226;1554;1288;1756;1785;1785]
data/processed/180_USA-road-d.BAY.gr,heuristics,13395.7,13637.6,0.13065,0,231,10983,204,248,[74;152;14;104;16;79;167;138;159;159]
data/processed/180_USA-road-d.COL.gr,heuristics,36557.4,30779.7,0.084267,0,109,26931,103,217,[83;176;139;166;109;127;100;163;59;159;161;161]
data/processed/180_USA-road-d.NY.gr,heuristics,32640,25946.6,0.124423,0,155,22257,143,203,[120;122;119;11;16;97;55;96;142;154;154]
data/processed/1900_USA-road-d.BAY.gr,heuristics,77036.7,78117.9,0.745049,0,610,66007,562,632,[1580;1641;1497;1215;1900;900;1791;901;1692;861;581;331;888;330;1621;859;993;1898;1363;1249;1153;1379;1727;1679;1834;1834]
data/processed/1900_USA-road-d.COL.gr,heuristics,42505.7,42092.2,3.1246,0,1176,34075,1152,1208,[88;538;213;1814;205;151;104;1325;1160;61;1348;1528;696;1001;1053;1053]
data/processed/1900_USA-road-d.NY.gr,heuristics,69098.2,40097.4,1.52346,0,459,56484,383,461,[1133;1390;1190;1171;1237;1248;1772;1740;694;855;866;1463;585;108;396;916;1683;1176;1240;1547;1850;1288;1756;1785;1785]
data/processed/2000_USA-road-d.BAY.gr,heuristics,67604,67604,0.361651,0,641,57846,546,649,[1712;1577;1915;1861;1869;1822;1812;1065;405;731;1799;438;457;1640;902;503;490;825;1246;1685;1161;1177;1864;1918;1918]
data/processed/2000_USA-road-d.COL.gr,heuristics,49019.1,48296.2,3.17175,0,1306,40854,1219,1332,[88;538;1650;1007;205;151;104;856;210;61;960;1898;1301;1299;1822;1634;1773;1888;1873;1887;1887]
